Node,Degree Centrality,PageRank,Betweenness Centrality
21352_c1101acb,0.010152,0.000633,0.000117
22376_3ebc82a2,0.010152,0.000633,6.3e-05
20502_58b65de9,0.010152,0.000633,0.00016
21153_a2fb81fe,0.010152,0.000633,0.000149
20409_dafedec6,0.010152,0.000633,0.000112
21492_8bd34fc1,0.010152,0.000633,8.1e-05
20622_38dd90d0,0.010152,0.000633,0.000127
22428_c1ffa51a,0.010152,0.000633,0.000117
23215_08a54de0,0.010152,0.000633,0.00014
23366_cc0bc28e,0.010152,0.000633,9.9e-05
20680_b095cb77,0.010152,0.000633,0.000157
23130_7417d5b3,0.010152,0.000633,0.000149
22193_c8773ded,0.010152,0.000633,0.000127
20735_fb18051a,0.010152,0.000633,6.3e-05
20989_885bd9b9,0.010152,0.000633,0.000111
20927_826f4b56,0.010152,0.000633,0.000108
21719_d60b8a4a,0.010152,0.000633,9.7e-05
21776_fb0bfbc6,0.010152,0.000633,0.000108
23372_4cb88567,0.010152,0.000633,9.4e-05
20789_1809f41f,0.010152,0.000633,0.000119
21164_de08f61e,0.010152,0.000633,8.2e-05
23252_ef165bed,0.010152,0.000633,9.7e-05
21176_b5c72bfb,0.010152,0.000633,0.000164
22136_a539c50b,0.010152,0.000633,0.000111
20414_a33bd0d7,0.010152,0.000633,8.7e-05
22196_0deb2e34,0.010152,0.000633,0.000141
23273_8f301ce3,0.010152,0.000633,8.1e-05
21063_037107dc,0.010152,0.000633,0.000158
23351_6104d55d,0.010152,0.000633,9.1e-05
21236_b696e901,0.010152,0.000633,9e-05
23321_c9497b79,0.010152,0.000633,9.1e-05
21351_675c66b1,0.010152,0.000633,0.000111
20675_66ac9773,0.010152,0.000633,0.000117
23238_3c864758,0.010152,0.000633,8.8e-05
20193_2da4f0a0,0.010152,0.000633,9.1e-05
23473_1dfa6e40,0.010152,0.000633,9.7e-05
21709_4dd88551,0.010152,0.000633,0.000104
20646_4cd14a72,0.010152,0.000633,0.000108
21588_0c48dc5f,0.010152,0.000633,9.1e-05
23377_690165aa,0.010152,0.000633,0.000125
23468_a0bfb573,0.010152,0.000633,0.000158
20468_1c33550a,0.010152,0.000633,9.7e-05
22040_6461a147,0.010152,0.000633,6.3e-05
22910_97f0cc18,0.010152,0.000633,0.000149
21425_d0d47a2a,0.010152,0.000633,0.000158
21092_32622a83,0.010152,0.000633,9.4e-05
20674_2fb6cabd,0.010152,0.000633,0.00014
22028_776fbf0d,0.010152,0.000633,8.1e-05
23036_7f9d143f,0.010152,0.000633,9.7e-05
20743_c8ea8159,0.010152,0.000633,6.3e-05
22668_9c30f6c0,0.010152,0.000633,9.1e-05
22266_078a1f68,0.010152,0.000633,0.000107
21882_795be793,0.010152,0.000633,9.1e-05
21601_360ce1c7,0.010152,0.000633,6.3e-05
23102_211ad1db,0.010152,0.000633,0.000158
23039_b3d04774,0.010152,0.000633,0.000106
22365_a4eb929c,0.010152,0.000633,0.000158
23132_1847c4ef,0.010152,0.000633,6.4e-05
19810_f77c5501,0.010152,0.000633,6.3e-05
20385_f2d30908,0.010152,0.000633,0.000129
22727_c514268a,0.010152,0.000633,0.000128
22278_12f1fb79,0.010152,0.000633,0.000125
21599_80057f94,0.010152,0.000633,0.000108
23226_8d1b5098,0.010152,0.000633,9e-05
21292_f94bd96b,0.010152,0.000633,0.000121
23502_5a80f907,0.010152,0.000633,9.7e-05
22257_6fb4c50c,0.010152,0.000633,9.1e-05
21248_0a862e3e,0.010152,0.000633,0.000158
20934_fe7fbd78,0.010152,0.000633,0.000108
23501_6c48b3c1,0.010152,0.000633,9.7e-05
21009_907a2a95,0.010152,0.000633,9.7e-05
21806_616e985a,0.010152,0.000633,9.1e-05
21352_d60bc953,0.010152,0.000633,0.000111
22886_a6331748,0.010152,0.000633,0.000158
22142_7891a26a,0.010152,0.000633,9.1e-05
22331_152ee5c0,0.010152,0.000633,0.000133
23128_cb135b1b,0.010152,0.000633,9.7e-05
22653_58d6287d,0.010152,0.000633,0.000108
23368_648717d8,0.010152,0.000633,7.6e-05
21024_9be3d461,0.010152,0.000633,0.000127
20926_4c0f33f6,0.010152,0.000633,0.000163
19566_19d85d3b,0.010152,0.000633,0.000143
22134_5e72e871,0.010152,0.000633,7.6e-05
22706_58a933f4,0.010152,0.000633,0.000164
20823_f144e996,0.010152,0.000633,6.3e-05
23406_1d36b046,0.010152,0.000633,9.1e-05
22717_08784417,0.010152,0.000633,0.000106
23414_f7d4a688,0.010152,0.000633,0.000123
21692_777db9e2,0.010152,0.000633,0.00016
20792_d2ea0500,0.010152,0.000633,0.00018
23144_88ca00a5,0.010152,0.000633,0.000111
23048_8a1a5553,0.010152,0.000633,0.000127
20278_d442e77d,0.010152,0.000633,9.4e-05
21365_ab403591,0.010152,0.000633,9.4e-05
20731_fbdc7731,0.010152,0.000633,0.000107
21015_10304cb9,0.010152,0.000633,0.000108
23210_f535bfd2,0.010152,0.000633,0.00014
22784_bcace961,0.010152,0.000633,6.3e-05
22630_b6010fff,0.010152,0.000633,6.3e-05
23002_4d53fb3f,0.010152,0.000633,0.000158
20291_42287610,0.010152,0.000633,9.1e-05
23245_ccd099b6,0.010152,0.000633,0.000153
21580_b8b2571b,0.010152,0.000633,0.000127
22014_5880c417,0.010152,0.000633,0.000108
21202_e452c491,0.010152,0.000633,9.7e-05
21630_316322ff,0.010152,0.000633,0.000108
22349_6f67a96e,0.010152,0.000633,0.000108
21316_69ed56f5,0.010152,0.000633,9.3e-05
20281_a29f9a18,0.010152,0.000633,9.7e-05
21243_3ec5d732,0.010152,0.000633,9.1e-05
21545_4384f96e,0.010152,0.000633,0.000111
23258_87a2ba81,0.010152,0.000633,0.000117
21839_a8eb6d34,0.010152,0.000633,0.000125
23123_f35404c4,0.010152,0.000633,0.000126
21848_0fff9631,0.010152,0.000633,9.1e-05
22245_ca848576,0.010152,0.000633,0.000158
21497_9833a679,0.010152,0.000633,0.000158
23259_d655fcc1,0.010152,0.000633,0.000158
23026_e6f08109,0.010152,0.000633,9.4e-05
20822_5bb36119,0.010152,0.000633,0.000111
22405_20f11d58,0.010152,0.000633,0.000149
20188_98b86c0f,0.010152,0.000633,0.00015
20349_a12428da,0.010152,0.000633,9.4e-05
21244_24c3ce72,0.010152,0.000633,0.000111
21274_2fb8c3f5,0.010152,0.000633,0.000108
20898_5f5b9bc7,0.010152,0.000633,0.00014
22440_014f1bac,0.010152,0.000633,6.3e-05
22199_8ec9eeb2,0.010152,0.000633,6.3e-05
22729_232da678,0.010152,0.000633,6.3e-05
20636_ca9eb29a,0.010152,0.000633,0.000127
21611_1d3ff1b6,0.010152,0.000633,9.1e-05
22125_e3a4cad4,0.010152,0.000633,9.3e-05
21979_29f59427,0.010152,0.000633,0.000151
21048_75cc125c,0.010152,0.000633,0.000122
21831_54ca67d1,0.010152,0.000633,0.000158
22586_ff3651b2,0.010152,0.000633,9.7e-05
21422_b2a6bf27,0.010152,0.000633,0.000112
22442_7d5c5d5f,0.010152,0.000633,0.000127
21805_2ba39d00,0.010152,0.000633,0.000104
21300_ec7da33e,0.010152,0.000633,0.000125
22843_cb38a007,0.010152,0.000633,0.000108
23378_8d6426ae,0.010152,0.000633,0.000125
23505_161e8ec5,0.010152,0.000633,9.4e-05
23239_ba13cf5e,0.010152,0.000633,9.1e-05
23251_3eb3d2e6,0.010152,0.000633,0.000127
21133_f9a1614e,0.010152,0.000633,0.000158
22081_ab3124af,0.010152,0.000633,0.000127
21275_c8049742,0.010152,0.000633,6.3e-05
21961_1a090a8b,0.010152,0.000633,0.00016
22056_79373464,0.010152,0.000633,0.000111
21121_1e9e7540,0.010152,0.000633,0.000125
22334_677d00e0,0.010152,0.000633,6.3e-05
21182_a480d230,0.010152,0.000633,0.000104
22418_2722dfe8,0.010152,0.000633,9.7e-05
21357_9edfc0a0,0.010152,0.000633,0.00014
21185_ac5324ba,0.010152,0.000633,8.7e-05
23156_7788f78a,0.010152,0.000633,0.000144
23162_7e2f3d77,0.010152,0.000633,9e-05
21838_5bc448b4,0.010152,0.000633,0.000125
20688_955aae0c,0.010152,0.000633,9.4e-05
20419_8ce893b6,0.010152,0.000633,0.000161
23331_192866b6,0.010152,0.000633,9.4e-05
22232_cb53774e,0.010152,0.000633,8.2e-05
21140_8d150c65,0.010152,0.000633,0.000108
22360_42cd6a21,0.010152,0.000633,0.000125
23379_636204a6,0.010152,0.000633,6.3e-05
20803_473c87ac,0.010152,0.000633,9.7e-05
22323_aa6edb8b,0.010152,0.000633,6.4e-05
22242_4ceddc2b,0.010152,0.000633,9.5e-05
23271_f833d903,0.010152,0.000633,9e-05
23121_cbdf3ebc,0.010152,0.000633,6.4e-05
21519_3e869afd,0.010152,0.000633,0.000127
23008_3d1bb7b2,0.010152,0.000633,6.3e-05
20500_e88d8065,0.010152,0.000633,0.000127
22155_ab18f2b6,0.010152,0.000633,0.000158
20430_975b8dcf,0.010152,0.000633,0.000127
20647_cea2e07c,0.010152,0.000633,0.000108
22894_5f7c276d,0.010152,0.000633,0.000125
23440_5956321f,0.010152,0.000633,0.000108
22508_6bb410af,0.010152,0.000633,0.000144
21549_18160a0a,0.010152,0.000633,9.7e-05
21941_1a683ec2,0.010152,0.000633,0.000138
22761_ca309655,0.010152,0.000633,0.000161
23221_42f37ae3,0.010152,0.000633,0.000158
23495_6366269c,0.010152,0.000633,0.000149
20643_71ad3d26,0.010152,0.000633,0.000125
22892_68138f24,0.010152,0.000633,0.000158
23168_7fdf5427,0.010152,0.000633,0.000101
21614_5d6afa62,0.010152,0.000633,9.1e-05
21974_1997ebc3,0.010152,0.000633,9.7e-05
22652_dc7405ef,0.010152,0.000633,0.000104
20341_6a1588fb,0.010152,0.000633,0.000129
21426_51651a10,0.010152,0.000633,0.00014
22298_51433023,0.010152,0.000633,9e-05
22491_a33562ad,0.010152,0.000633,8.9e-05
20421_0fd51709,0.010152,0.000633,0.000112
23136_2b469508,0.010152,0.000633,9.7e-05
20841_1620ae7d,0.010152,0.000633,0.000108
22839_113f2990,0.010152,0.000633,0.000108
20216_89b90993,0.010152,0.000633,0.000111
20157_db99ab88,0.010152,0.000633,0.000122
21329_1bfecd1d,0.010152,0.000633,0.000133
23403_e539620b,0.010152,0.000633,9.1e-05
22074_c0265b0d,0.010152,0.000633,8.7e-05
21281_6e562106,0.010152,0.000633,9.4e-05
21793_4ad5e2c0,0.010152,0.000633,0.000108
20319_9f53cd7c,0.010152,0.000633,9.4e-05
23387_c4aa9424,0.010152,0.000633,0.000108
21051_5d118b91,0.010152,0.000633,0.000108
21570_9cb1d1c4,0.010152,0.000633,0.000133
22900_09de4c7a,0.010152,0.000633,0.000158
21619_19435db0,0.010152,0.000633,9.1e-05
20804_0dcacc66,0.010152,0.000633,9.1e-05
21353_4686c90c,0.010152,0.000633,9.1e-05
23236_d5867507,0.010152,0.000633,0.00014
22070_fd1b8e5e,0.010152,0.000633,0.000125
20899_a8d7c6d5,0.010152,0.000633,6.4e-05
22415_658c81dd,0.010152,0.000633,0.000106
20551_ff28a959,0.010152,0.000633,0.000144
23434_6635ed57,0.010152,0.000633,6.3e-05
23320_e0711ae9,0.010152,0.000633,0.00016
20892_b1f89c8d,0.010152,0.000633,7.6e-05
21761_fdb5f86d,0.010152,0.000633,9.7e-05
22778_7d85debd,0.010152,0.000633,6.3e-05
20958_94222947,0.010152,0.000633,0.000129
23006_92c5b990,0.010152,0.000633,0.000108
20705_ac2a0325,0.010152,0.000633,9.1e-05
22919_3ee91d1a,0.010152,0.000633,9.7e-05
23342_7193a931,0.010152,0.000633,9.1e-05
21563_c72d37a2,0.010152,0.000633,6.4e-05
23214_0c411aa1,0.010152,0.000633,6.4e-05
21700_28d193ac,0.010152,0.000633,0.000125
